PdfType: replica
Format: lhagrid1
---
1.00000E-06 1.28121E-06 1.64152E-06 2.10317E-06 2.69463E-06 3.45242E-06 4.42329E-06 5.66715E-06 7.26076E-06 9.30241E-06 1.19180E-05 1.52689E-05 1.95617E-05 2.50609E-05 3.21053E-05 4.11287E-05 5.26863E-05 6.74889E-05 8.64459E-05 1.10720E-04 1.41800E-04 1.81585E-04 2.32503E-04 2.97652E-04 3.80981E-04 4.87518E-04 6.26039E-04 8.00452E-04 1.02297E-03 1.30657E-03 1.66759E-03 2.12729E-03 2.71054E-03 3.44865E-03 4.37927E-03 5.54908E-03 7.01192E-03 8.83064E-03 1.10763E-02 1.38266E-02 1.71641E-02 2.11717E-02 2.59364E-02 3.15062E-02 3.79623E-02 4.53425E-02 5.36750E-02 6.29705E-02 7.32221E-02 8.44039E-02 9.64793E-02 1.09332E-01 1.23067E-01 1.37507E-01 1.52639E-01 1.68416E-01 1.84794E-01 2.01731E-01 2.19016E-01 2.36948E-01 2.55242E-01 2.73927E-01 2.92954E-01 3.12340E-01 3.32036E-01 3.52019E-01 3.72282E-01 3.92772E-01 4.13533E-01 4.34326E-01 4.55495E-01 4.76836E-01 4.98342E-01 5.20006E-01 5.41818E-01 5.63773E-01 5.85861E-01 6.08077E-01 6.30459E-01 6.52800E-01 6.75387E-01 6.98063E-01 7.20830E-01 7.43683E-01 7.66623E-01 7.89636E-01 8.12791E-01 8.35940E-01 8.59175E-01 8.82485E-01 9.05866E-01 9.29311E-01 9.52817E-01 9.76387E-01 1.00000E+00 
1.14018E+00 1.22539E+00 1.32482E+00 1.44156E+00 1.57954E+00 1.74381E+00 1.94091E+00 2.12132E+00 2.17945E+00 2.49622E+00 2.89383E+00 3.39925E+00 4.05063E+00 4.90286E+00 6.03623E+00 7.57063E+00 9.68869E+00 1.26749E+01 1.69835E+01 2.33578E+01 3.30501E+01 4.82334E+01 7.28041E+01 1.13998E+02 1.85779E+02 3.16228E+02 
1 2
-1.71586E-04 1.12729E-06 
-1.65711E-04 1.12152E-06 
-1.59662E-04 1.11559E-06 
-1.53444E-04 1.10949E-06 
-1.47061E-04 1.10322E-06 
-1.40519E-04 1.09680E-06 
-1.33824E-04 1.09023E-06 
-1.26982E-04 1.08352E-06 
-1.20000E-04 1.07667E-06 
-1.12883E-04 1.06969E-06 
-1.05639E-04 1.06258E-06 
-9.82726E-05 1.05535E-06 
-9.07912E-05 1.04801E-06 
-8.32007E-05 1.04056E-06 
-7.55072E-05 1.03301E-06 
-6.77167E-05 1.02536E-06 
-5.98348E-05 1.01763E-06 
-5.18672E-05 1.00981E-06 
-2.34242E-04 1.42857E-06 
-2.29318E-04 1.42337E-06 
-2.24204E-04 1.41797E-06 
-2.18901E-04 1.41237E-06 
-2.13411E-04 1.40657E-06 
-2.07736E-04 1.40057E-06 
-2.01878E-04 1.39438E-06 
-1.97223E-04 1.38946E-06 
-1.95841E-04 1.38800E-06 
-1.89135E-04 1.38092E-06 
-1.82229E-04 1.37362E-06 
-1.75130E-04 1.36612E-06 
-1.67843E-04 1.35842E-06 
-1.60374E-04 1.35053E-06 
-1.52732E-04 1.34246E-06 
-1.44921E-04 1.33421E-06 
-1.36950E-04 1.32578E-06 
-1.28826E-04 1.31720E-06 
-1.20555E-04 1.30846E-06 
-1.12146E-04 1.29958E-06 
-1.03605E-04 1.29056E-06 
-9.49401E-05 1.28140E-06 
-8.61571E-05 1.27212E-06 
-7.72634E-05 1.26273E-06 
-6.82654E-05 1.25322E-06 
-5.91696E-05 1.24361E-06 
-2.67451E-04 1.76361E-06 
-2.61828E-04 1.75720E-06 
-2.55988E-04 1.75054E-06 
-2.49932E-04 1.74364E-06 
-2.43662E-04 1.73649E-06 
-2.37181E-04 1.72911E-06 
-2.30492E-04 1.72148E-06 
-2.25175E-04 1.71542E-06 
-2.23597E-04 1.71362E-06 
-2.15939E-04 1.70489E-06 
-2.08053E-04 1.69591E-06 
-1.99945E-04 1.68666E-06 
-1.91624E-04 1.67718E-06 
-1.83095E-04 1.66746E-06 
-1.74367E-04 1.65751E-06 
-1.65448E-04 1.64734E-06 
-1.56345E-04 1.63697E-06 
-1.47067E-04 1.62639E-06 
-1.37622E-04 1.61563E-06 
-1.28019E-04 1.60468E-06 
-1.18266E-04 1.59356E-06 
-1.08370E-04 1.58229E-06 
-9.83401E-05 1.57085E-06 
-8.81837E-05 1.55928E-06 
-7.79082E-05 1.54756E-06 
-6.75209E-05 1.53572E-06 
-3.05472E-04 2.18403E-06 
-2.99048E-04 2.17611E-06 
-2.92377E-04 2.16789E-06 
-2.85459E-04 2.15936E-06 
-2.78296E-04 2.15053E-06 
-2.70893E-04 2.14141E-06 
-2.63251E-04 2.13199E-06 
-2.57177E-04 2.12450E-06 
-2.55375E-04 2.12228E-06 
-2.46626E-04 2.11149E-06 
-2.37617E-04 2.10039E-06 
-2.28355E-04 2.08897E-06 
-2.18849E-04 2.07725E-06 
-2.09105E-04 2.06524E-06 
-1.99135E-04 2.05295E-06 
-1.88945E-04 2.04039E-06 
-1.78547E-04 2.02757E-06 
-1.67948E-04 2.01451E-06 
-1.57158E-04 2.00121E-06 
-1.46188E-04 1.98768E-06 
-1.35046E-04 1.97395E-06 
-1.23741E-04 1.96002E-06 
-1.12283E-04 1.94589E-06 
-1.00681E-04 1.93159E-06 
-8.89423E-05 1.91712E-06 
-7.70761E-05 1.90249E-06 
-3.49025E-04 2.71451E-06 
-3.41683E-04 2.70469E-06 
-3.34059E-04 2.69450E-06 
-3.26153E-04 2.68393E-06 
-3.17968E-04 2.67299E-06 
-3.09507E-04 2.66168E-06 
-3.00774E-04 2.65000E-06 
-2.93833E-04 2.64072E-06 
-2.91773E-04 2.63797E-06 
-2.81775E-04 2.62460E-06 
-2.71479E-04 2.61084E-06 
-2.60895E-04 2.59669E-06 
-2.50031E-04 2.58216E-06 
-2.38897E-04 2.56728E-06 
-2.27502E-04 2.55204E-06 
-2.15858E-04 2.53648E-06 
-2.03974E-04 2.52059E-06 
-1.91862E-04 2.50440E-06 
-1.79531E-04 2.48791E-06 
-1.66994E-04 2.47115E-06 
-1.54261E-04 2.45413E-06 
-1.41342E-04 2.43686E-06 
-1.28248E-04 2.41935E-06 
-1.14989E-04 2.40163E-06 
-1.01574E-04 2.38369E-06 
-8.80137E-05 2.36556E-06 
-3.98940E-04 3.38803E-06 
-3.90547E-04 3.37582E-06 
-3.81831E-04 3.36314E-06 
-3.72792E-04 3.34999E-06 
-3.63434E-04 3.33638E-06 
-3.53761E-04 3.32231E-06 
-3.43777E-04 3.30778E-06 
-3.35842E-04 3.29624E-06 
-3.33487E-04 3.29281E-06 
-3.22056E-04 3.27618E-06 
-3.10286E-04 3.25906E-06 
-2.98186E-04 3.24146E-06 
-2.85765E-04 3.22339E-06 
-2.73036E-04 3.20487E-06 
-2.60009E-04 3.18592E-06 
-2.46697E-04 3.16655E-06 
-2.33111E-04 3.14679E-06 
-2.19263E-04 3.12665E-06 
-2.05167E-04 3.10614E-06 
-1.90834E-04 3.08529E-06 
-1.76277E-04 3.06411E-06 
-1.61508E-04 3.04263E-06 
-1.46538E-04 3.02085E-06 
-1.31379E-04 2.99880E-06 
-1.16043E-04 2.97649E-06 
-1.00540E-04 2.95393E-06 
-4.56181E-04 4.24917E-06 
-4.46581E-04 4.23392E-06 
-4.36612E-04 4.21807E-06 
-4.26274E-04 4.20165E-06 
-4.15571E-04 4.18464E-06 
-4.04508E-04 4.16706E-06 
-3.93089E-04 4.14891E-06 
-3.84013E-04 4.13449E-06 
-3.81320E-04 4.13021E-06 
-3.68246E-04 4.10943E-06 
-3.54784E-04 4.08804E-06 
-3.40945E-04 4.06605E-06 
-3.26739E-04 4.04347E-06 
-3.12181E-04 4.02034E-06 
-2.97282E-04 3.99666E-06 
-2.82056E-04 3.97246E-06 
-2.66517E-04 3.94777E-06 
-2.50680E-04 3.92260E-06 
-2.34557E-04 3.89698E-06 
-2.18165E-04 3.87093E-06 
-2.01515E-04 3.84447E-06 
-1.84623E-04 3.81763E-06 
-1.67502E-04 3.79042E-06 
-1.50165E-04 3.76287E-06 
-1.32625E-04 3.73500E-06 
-1.14894E-04 3.70682E-06 
-5.21859E-04 5.35874E-06 
-5.10875E-04 5.33958E-06 
-4.99468E-04 5.31969E-06 
-4.87639E-04 5.29907E-06 
-4.75393E-04 5.27771E-06 
-4.62734E-04 5.25564E-06 
-4.49667E-04 5.23286E-06 
-4.39282E-04 5.21475E-06 
-4.36201E-04 5.20937E-06 
-4.21242E-04 5.18329E-06 
-4.05838E-04 5.15643E-06 
-3.90002E-04 5.12882E-06 
-3.73748E-04 5.10048E-06 
-3.57090E-04 5.07143E-06 
-3.40042E-04 5.04170E-06 
-3.22620E-04 5.01132E-06 
-3.04841E-04 4.98032E-06 
-2.86719E-04 4.94872E-06 
-2.68272E-04 4.91655E-06 
-2.49515E-04 4.88385E-06 
-2.30464E-04 4.85063E-06 
-2.11136E-04 4.81693E-06 
-1.91546E-04 4.78277E-06 
-1.71708E-04 4.74817E-06 
-1.51638E-04 4.71318E-06 
-1.31350E-04 4.67780E-06 
-5.97268E-04 6.80057E-06 
-5.84694E-04 6.77639E-06 
-5.71635E-04 6.75127E-06 
-5.58094E-04 6.72523E-06 
-5.44075E-04 6.69827E-06 
-5.29583E-04 6.67040E-06 
-5.14625E-04 6.64163E-06 
-5.02736E-04 6.61877E-06 
-4.99209E-04 6.61198E-06 
-4.82084E-04 6.57905E-06 
-4.64451E-04 6.54514E-06 
-4.46322E-04 6.51027E-06 
-4.27716E-04 6.47449E-06 
-4.08645E-04 6.43781E-06 
-3.89130E-04 6.40028E-06 
-3.69186E-04 6.36192E-06 
-3.48833E-04 6.32278E-06 
-3.28088E-04 6.28288E-06 
-3.06970E-04 6.24227E-06 
-2.85498E-04 6.20097E-06 
-2.63690E-04 6.15903E-06 
-2.41564E-04 6.11648E-06 
-2.19138E-04 6.07335E-06 
-1.96429E-04 6.02968E-06 
-1.73454E-04 5.98549E-06 
-1.50229E-04 5.94082E-06 
-6.83906E-04 8.69135E-06 
-6.69504E-04 8.66062E-06 
-6.54547E-04 8.62871E-06 
-6.39038E-04 8.59562E-06 
-6.22981E-04 8.56136E-06 
-6.06383E-04 8.52595E-06 
-5.89252E-04 8.48939E-06 
-5.75635E-04 8.46034E-06 
-5.71595E-04 8.45172E-06 
-5.51982E-04 8.40987E-06 
-5.31785E-04 8.36678E-06 
-5.11022E-04 8.32248E-06 
-4.89711E-04 8.27701E-06 
-4.67870E-04 8.23041E-06 
-4.45518E-04 8.18272E-06 
-4.22676E-04 8.13399E-06 
-3.99364E-04 8.08425E-06 
-3.75605E-04 8.03355E-06 
-3.51418E-04 7.98195E-06 
-3.26826E-04 7.92948E-06 
-3.01848E-04 7.87619E-06 
-2.76507E-04 7.82212E-06 
-2.50822E-04 7.76732E-06 
-2.24814E-04 7.71182E-06 
-1.98500E-04 7.65568E-06 
-1.71900E-04 7.59893E-06 
-7.83512E-04 1.11949E-05 
-7.67009E-04 1.11556E-05 
-7.49869E-04 1.11148E-05 
-7.32097E-04 1.10724E-05 
-7.13696E-04 1.10286E-05 
-6.94676E-04 1.09833E-05 
-6.75044E-04 1.09365E-05 
-6.59440E-04 1.08993E-05 
-6.54811E-04 1.08883E-05 
-6.32335E-04 1.08347E-05 
-6.09191E-04 1.07796E-05 
-5.85398E-04 1.07229E-05 
-5.60977E-04 1.06647E-05 
-5.35948E-04 1.06051E-05 
-5.10335E-04 1.05440E-05 
-4.84159E-04 1.04817E-05 
-4.57446E-04 1.04180E-05 
-4.30220E-04 1.03531E-05 
-4.02504E-04 1.02871E-05 
-3.74323E-04 1.02200E-05 
-3.45701E-04 1.01518E-05 
-3.16662E-04 1.00826E-05 
-2.87229E-04 1.00124E-05 
-2.57426E-04 9.94142E-06 
-2.27273E-04 9.86958E-06 
-1.96792E-04 9.79695E-06 
-8.98118E-04 1.45437E-05 
-8.79195E-04 1.44930E-05 
-8.59543E-04 1.44403E-05 
-8.39165E-04 1.43857E-05 
-8.18067E-04 1.43291E-05 
-7.96259E-04 1.42707E-05 
-7.73749E-04 1.42104E-05 
-7.55858E-04 1.41624E-05 
-7.50550E-04 1.41482E-05 
-7.24779E-04 1.40791E-05 
-6.98244E-04 1.40080E-05 
-6.70963E-04 1.39348E-05 
-6.42962E-04 1.38598E-05 
-6.14265E-04 1.37829E-05 
-5.84897E-04 1.37041E-05 
-5.54885E-04 1.36237E-05 
-5.24257E-04 1.35416E-05 
-4.93040E-04 1.34579E-05 
-4.61262E-04 1.33728E-05 
-4.28951E-04 1.32861E-05 
-3.96135E-04 1.31982E-05 
-3.62841E-04 1.31089E-05 
-3.29095E-04 1.30185E-05 
-2.94923E-04 1.29269E-05 
-2.60352E-04 1.28342E-05 
-2.25405E-04 1.27405E-05 
-1.03007E-03 1.90693E-05 
-1.00836E-03 1.90033E-05 
-9.85817E-04 1.89347E-05 
-9.62438E-04 1.88637E-05 
-9.38234E-04 1.87901E-05 
-9.13214E-04 1.87140E-05 
-8.87389E-04 1.86355E-05 
-8.66864E-04 1.85731E-05 
-8.60774E-04 1.85546E-05 
-8.31209E-04 1.84648E-05 
-8.00765E-04 1.83722E-05 
-7.69468E-04 1.82771E-05 
-7.37344E-04 1.81794E-05 
-7.04422E-04 1.80794E-05 
-6.70730E-04 1.79770E-05 
-6.36299E-04 1.78723E-05 
-6.01162E-04 1.77655E-05 
-5.65349E-04 1.76566E-05 
-5.28892E-04 1.75458E-05 
-4.91824E-04 1.74331E-05 
-4.54177E-04 1.73187E-05 
-4.15981E-04 1.72026E-05 
-3.77267E-04 1.70849E-05 
-3.38066E-04 1.69658E-05 
-2.98405E-04 1.68452E-05 
-2.58314E-04 1.67233E-05 
-1.18213E-03 2.52487E-05 
-1.15720E-03 2.51621E-05 
-1.13132E-03 2.50721E-05 
-1.10448E-03 2.49788E-05 
-1.07670E-03 2.48821E-05 
-1.04797E-03 2.47823E-05 
-1.01833E-03 2.46792E-05 
-9.94765E-04 2.45973E-05 
-9.87774E-04 2.45730E-05 
-9.53834E-04 2.44549E-05 
-9.18887E-04 2.43334E-05 
-8.82959E-04 2.42085E-05 
-8.46082E-04 2.40803E-05 
-8.08289E-04 2.39489E-05 
-7.69612E-04 2.38144E-05 
-7.30088E-04 2.36769E-05 
-6.89753E-04 2.35367E-05 
-6.48642E-04 2.33937E-05 
-6.06792E-04 2.32482E-05 
-5.64241E-04 2.31003E-05 
-5.21025E-04 2.29500E-05 
-4.77180E-04 2.27975E-05 
-4.32740E-04 2.26430E-05 
-3.87740E-04 2.24866E-05 
-3.42214E-04 2.23283E-05 
-2.96194E-04 2.21682E-05 
-1.35748E-03 3.37729E-05 
-1.32885E-03 3.36580E-05 
-1.29911E-03 3.35386E-05 
-1.26828E-03 3.34148E-05 
-1.23636E-03 3.32867E-05 
-1.20337E-03 3.31543E-05 
-1.16932E-03 3.30176E-05 
-1.14225E-03 3.29089E-05 
-1.13422E-03 3.28767E-05 
-1.09523E-03 3.27202E-05 
-1.05509E-03 3.25590E-05 
-1.01382E-03 3.23933E-05 
-9.71458E-04 3.22233E-05 
-9.28045E-04 3.20490E-05 
